#Gene stable ID	Transcript stable ID	Gene name	Transcript start (bp)	Transcript end (bp)	Strand	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
SPAC26H5.02c	SPAC26H5.02c.1	SPAC26H5.02c	4117195	4119311	-1	I	4117195	4119311
SPAC26H5.03	SPAC26H5.03.1	pcf2	4119431	4121874	1	I	4119431	4121874
SPAC26H5.10c	SPAC26H5.10c.1	tif51	4141281	4142329	-1	I	4141281	4142329
SPAC26H5.13c	SPAC26H5.13c.1	kei1	4150008	4153031	-1	I	4150008	4153031
SPAC25B8.03	SPAC25B8.03.1	psd2	4157827	4160623	1	I	4157827	4160623
SPAC25B8.04c	SPAC25B8.04c.1	mss51	4160598	4162328	-1	I	4160598	4162328
SPAC25B8.10	SPAC25B8.10.1	SPAC25B8.10	4172123	4173547	1	I	4172123	4173547
SPAC25B8.15c	SPAC25B8.15c.1	SPAC25B8.15c	4185378	4187542	-1	I	4185378	4187542
SPBC31F10.10c	SPBC31F10.10c.1	SPBC31F10.10c	3766606	3769989	-1	II	3766606	3769989
SPAC25B8.18	SPAC25B8.18.1	SPAC25B8.18	4191410	4192157	1	I	4191410	4192157
SPAC25B8.19c	SPAC25B8.19c.1	loz1	4192070	4195228	-1	I	4192070	4195228
SPAC683.02c	SPAC683.02c.1	SPAC683.02c	4197466	4198686	-1	I	4197466	4198686
SPBC31F10.15c	SPBC31F10.15c.1	atp15	3783856	3784529	-1	II	3783856	3784529
SPBC31F10.16	SPBC31F10.16.1	SPBC31F10.16	3785745	3788313	1	II	3785745	3788313
SPAC694.04c	SPAC694.04c.1	SPAC694.04c	4206693	4208253	-1	I	4206693	4208253
SPBC21C3.04c	SPBC21C3.04c.1	SPBC21C3.04c	3803224	3805100	-1	II	3803224	3805100
SPBC21C3.06	SPBC21C3.06.1	SPBC21C3.06	3807090	3807918	1	II	3807090	3807918
SPBTRNATYR.04	SPBTRNATYR.04.1	SPBTRNATYR.04	3814558	3814641	1	II	3814558	3814641
SPBC21C3.16c	SPBC21C3.16c.1	spt4	3824636	3824965	-1	II	3824636	3824965
SPBC23E6.05	SPBC23E6.05.1	arx1	3849937	3851579	1	II	3849937	3851579
SPBC211.07c	SPBC211.07c.1	ubc8	3885535	3886954	-1	II	3885535	3886954
SPBC1604.19c	SPBC1604.19c.1	trs8501	3895371	3897514	1	II	3895371	3897514
SPAC694.06c	SPAC694.06c.1	mrc1	4209203	4212453	-1	I	4209203	4212453
SPBC1604.13c	SPBC1604.13c.1	mrpl32	3907817	3908731	1	II	3907817	3908731
SPAC1F7.10	SPAC1F7.10.1	SPAC1F7.10	4243421	4244823	1	I	4243421	4244823
SPBC1604.09c	SPBC1604.09c.1	rex4	3914657	3915896	1	II	3914657	3915896
SPAC1F7.12	SPAC1F7.12.1	yak3	4248777	4250231	1	I	4248777	4250231
SPAC1F7.13c	SPAC1F7.13c.1	rpl801	4250595	4251468	-1	I	4250595	4251468
SPAC21E11.03c	SPAC21E11.03c.1	pcr1	4252142	4253622	-1	I	4252142	4253622
SPBC1604.08c	SPBC1604.08c.1	imp1	3916583	3918514	1	II	3916583	3918514
SPBC1604.06c	SPBC1604.06c.1	noc4	3920068	3921674	1	II	3920068	3921674
SPAC2C4.03c	SPAC2C4.03c.1	smd2	4263953	4264621	-1	I	4263953	4264621
SPBC1604.05	SPBC1604.05.1	pgi1	3921659	3923567	-1	II	3921659	3923567
SPNCRNA.1648	SPNCRNA.1648.1	SPBC1604.04-antisense-1	3923215	3925557	1	II	3923215	3925557
SPAC2C4.06c	SPAC2C4.06c.1	SPAC2C4.06c	4269109	4270937	-1	I	4269109	4270937
SPSNRNA.07	SPSNRNA.07.1	snu32	3958832	3959086	-1	II	3958832	3959086
SPAC2C4.12c	SPAC2C4.12c.1	tpt1	4279661	4281428	-1	I	4279661	4281428
SPNCRNA.1651	SPNCRNA.1651.1	SPNCRNA.1651	3962699	3963115	1	II	3962699	3963115
SPBC26H8.08c	SPBC26H8.08c.1	grn1	3966583	3968193	-1	II	3966583	3968193
SPAC2C4.14c	SPAC2C4.14c.1	ppk11	4282491	4284568	-1	I	4282491	4284568
SPBC26H8.09c	SPBC26H8.09c.1	snf59	3968299	3970577	-1	II	3968299	3970577
SPAC2C4.16c	SPAC2C4.16c.1	rps801	4286744	4287454	-1	I	4286744	4287454
SPNCRNA.974	SPNCRNA.974.1	SPNCRNA.974	4291999	4292912	1	I	4291999	4292912
SPNCRNA.976	SPNCRNA.976.1	SPNCRNA.976	4294279	4294816	1	I	4294279	4294816
SPBC26H8.10	SPBC26H8.10.1	dis3	3970898	3974218	1	II	3970898	3974218
SPAC25G10.01	SPAC25G10.01.1	SPAC25G10.01	4295138	4297332	1	I	4295138	4297332
SPBC26H8.11c	SPBC26H8.11c.1	SPBC26H8.11c	3974097	3974994	-1	II	3974097	3974994
SPBC3B9.01	SPBC3B9.01.1	fes1	3990414	3991685	1	II	3990414	3991685
SPAC25G10.02	SPAC25G10.02.1	cce1	4296936	4298605	-1	I	4296936	4298605
SPBC3B9.05	SPBC3B9.05.1	hot15	3997584	3998531	1	II	3997584	3998531
SPAC25G10.08	SPAC25G10.08.1	SPAC25G10.08	4310535	4313061	1	I	4310535	4313061
SPAC27F1.02c	SPAC27F1.02c.1	cdc8	4319247	4320285	-1	I	4319247	4320285
SPAC27F1.04c	SPAC27F1.04c.1	nuf2	4321520	4323254	-1	I	4321520	4323254
SPAC27F1.05c	SPAC27F1.05c.1	SPAC27F1.05c	4323424	4325633	-1	I	4323424	4325633
SPBC3B9.22c	SPBC3B9.22c.1	dad4	4005063	4006493	-1	II	4005063	4006493
SPNCRNA.978	SPNCRNA.978.1	SPAC27F1.10-antisense-1	4326026	4326614	1	I	4326026	4326614
SPBC3B9.15c	SPBC3B9.15c.1	scp1	4011148	4015280	-1	II	4011148	4015280
SPAC27F1.08	SPAC27F1.08.1	pdt1	4330993	4333166	1	I	4330993	4333166
SPAC27F1.09c	SPAC27F1.09c.1	prp10	4333135	4336797	-1	I	4333135	4336797
SPAC23D3.04c	SPAC23D3.04c.1	gpd2	4342230	4344039	-1	I	4342230	4344039
SPAC23D3.08	SPAC23D3.08.1	usp108	4352440	4355260	1	I	4352440	4355260
SPAC23D3.17	SPAC23D3.17.1	SPAC23D3.17	4366000	4367171	-1	I	4366000	4367171
SPBC215.02	SPBC215.02.1	bob1	4027366	4029143	1	II	4027366	4029143
SPAC23D3.13c	SPAC23D3.13c.1	SPAC23D3.13c	4367585	4372712	-1	I	4367585	4372712
SPAC30.02c	SPAC30.02c.1	SPAC30.02c	4392813	4393963	-1	I	4392813	4393963
SPBC215.05	SPBC215.05.1	gpd1	4035580	4037342	1	II	4035580	4037342
SPAC30.03c	SPAC30.03c.1	tsn1	4394376	4395639	-1	I	4394376	4395639
SPBC215.06c	SPBC215.06c.1	SPBC215.06c	4037989	4038940	-1	II	4037989	4038940
SPAC29E6.02	SPAC29E6.02.1	prp3	4403839	4409596	1	I	4403839	4409596
SPBC215.10	SPBC215.10.1	SPBC215.10	4048908	4050198	1	II	4048908	4050198
SPAC29E6.10c	SPAC29E6.10c.1	nst1	4418807	4422511	-1	I	4418807	4422511
SPNCRNA.986	SPNCRNA.986.1	srp2-antisense-1	4424582	4427095	1	I	4424582	4427095
SPBC215.11c	SPBC215.11c.1	SPBC215.11c	4050360	4051532	-1	II	4050360	4051532
SPBC215.13	SPBC215.13.1	SPBC215.13	4056051	4058223	1	II	4056051	4058223
SPAC16.02c	SPAC16.02c.1	srp2	4424648	4427046	-1	I	4424648	4427046
SPNCRNA.437	SPNCRNA.437.1	SPNCRNA.437	4059411	4059962	1	II	4059411	4059962
SPNCRNA.1662	SPNCRNA.1662.1	rev1-antisense-1	4061570	4064564	1	II	4061570	4064564
SPAC16.03c	SPAC16.03c.1	ura2	4427303	4428958	-1	I	4427303	4428958
SPNCRNA.1663	SPNCRNA.1663.1	meu14-antisense-1	4066172	4067821	-1	II	4066172	4067821
SPBC1347.04	SPBC1347.04.1	tim54	4067814	4069167	1	II	4067814	4069167
SPAC9E9.02	SPAC9E9.02.1	SPAC9E9.02	4434478	4437145	-1	I	4434478	4437145
SPNCRNA.105	SPNCRNA.105.1	SPNCRNA.105	4071111	4071304	1	II	4071111	4071304
SPAC9E9.01	SPAC9E9.01.1	SPAC9E9.01	4434861	4435509	1	I	4434861	4435509
SPNCRNA.12	SPNCRNA.12.1	prl12	4439118	4439451	1	I	4439118	4439451
SPNCRNA.988	SPNCRNA.988.1	SPNCRNA.988	4442520	4442919	-1	I	4442520	4442919
SPBC1347.08c	SPBC1347.08c.1	SPBC1347.08c	4073720	4077086	-1	II	4073720	4077086
SPAC9E9.06c	SPAC9E9.06c.1	SPAC9E9.06c	4445573	4447549	-1	I	4445573	4447549
SPNCRNA.989	SPNCRNA.989.1	SPNCRNA.989	4455878	4458045	1	I	4455878	4458045
SPBC1347.12	SPBC1347.12.1	arp1	4083633	4085508	1	II	4083633	4085508
SPBC1347.13c	SPBC1347.13c.1	mrm1	4085349	4086593	-1	II	4085349	4086593
SPNCRNA.1671	SPNCRNA.1671.1	SPBC56F2.03-antisense-1	4120895	4123007	1	II	4120895	4123007
SPAC9E9.10c	SPAC9E9.10c.1	cbh1	4458920	4460959	-1	I	4458920	4460959
SPBC56F2.01	SPBC56F2.01.1	pof12	4123985	4125779	-1	II	4123985	4125779
SPNCRNA.311	SPNCRNA.311.1	SPNCRNA.311	4471656	4472041	1	I	4471656	4472041
SPBC56F2.14	SPBC56F2.14.1	mrpl44	4125818	4126258	1	II	4125818	4126258
SPAC17C9.15c	SPAC17C9.15c.1	SPAC17C9.15c	4475148	4476658	1	I	4475148	4476658
SPBC1861.01c	SPBC1861.01c.1	cnp3	4126318	4129456	-1	II	4126318	4129456
SPNCRNA.1674	SPNCRNA.1674.1	SPNCRNA.1674	4129574	4130925	1	II	4129574	4130925
SPAC17C9.09c	SPAC17C9.09c.1	tim13	4483738	4484657	1	I	4483738	4484657
SPAC27D7.02c	SPAC27D7.02c.1	SPAC27D7.02c	4507217	4509970	-1	I	4507217	4509970
SPBC1861.03	SPBC1861.03.1	mak10	4133665	4138620	1	II	4133665	4138620
SPAC27D7.05c	SPAC27D7.05c.1	apc14	4517810	4518562	-1	I	4517810	4518562
SPNCRNA.248	SPNCRNA.248.1	SPNCRNA.248	4531070	4531631	1	I	4531070	4531631
SPBC14F5.04c	SPBC14F5.04c.1	pgk1	4157821	4159543	-1	II	4157821	4159543
SPRRNA.37	SPRRNA.37.1	SPRRNA.37	4161556	4161775	-1	II	4161556	4161775
SPBC14F5.07	SPBC14F5.07.1	doa10	4167478	4171911	1	II	4167478	4171911
SPBC14F5.08	SPBC14F5.08.1	med7	4172385	4175788	1	II	4172385	4175788
SPAC637.07	SPAC637.07.1	moe1	4551740	4553741	1	I	4551740	4553741
SPBC14F5.11c	SPBC14F5.11c.1	mug186	4178326	4180560	-1	II	4178326	4180560
SPAC637.08	SPAC637.08.1	nbp35	4553894	4555164	1	I	4553894	4555164
SPNCRNA.563	SPNCRNA.563.1	SPAC637.08-antisense-1	4554192	4555181	-1	I	4554192	4555181
SPAC637.09	SPAC637.09.1	SPAC637.09	4555184	4557390	1	I	4555184	4557390
SPBC14F5.12c	SPBC14F5.12c.1	cbh2	4180737	4182642	-1	II	4180737	4182642
SPNCRNA.249	SPNCRNA.249.1	SPNCRNA.249	4565700	4566208	1	I	4565700	4566208
SPBC3F6.05	SPBC3F6.05.1	rga1	4196034	4200033	1	II	4196034	4200033
SPAC12B10.03	SPAC12B10.03.1	bun62	4578164	4580722	1	I	4578164	4580722
SPNCRNA.1001	SPNCRNA.1001.1	pby1-antisense-1	4580561	4582160	-1	I	4580561	4582160
SPBC342.01c	SPBC342.01c.1	alg6	4199356	4201947	-1	II	4199356	4201947
SPBC342.02	SPBC342.02.1	qrs1	4203368	4205852	1	II	4203368	4205852
SPBC342.04	SPBC342.04.1	rpn1301	4208067	4209901	1	II	4208067	4209901
SPAC12B10.07	SPAC12B10.07.1	acp1	4584465	4586536	1	I	4584465	4586536
SPBTRNAASN.04	SPBTRNAASN.04.1	SPBTRNAASN.04	4210053	4210126	-1	II	4210053	4210126
SPAC12B10.06c	SPAC12B10.06c.1	emi5	4584473	4585226	-1	I	4584473	4585226
SPRRNA.38	SPRRNA.38.1	SPRRNA.38	4210360	4210500	-1	II	4210360	4210500
SPNCRNA.1680	SPNCRNA.1680.1	rtt109-antisense-1	4213720	4215008	1	II	4213720	4215008
SPAC12B10.09	SPAC12B10.09.1	pet801	4588250	4589793	1	I	4588250	4589793
SPNCRNA.1002	SPNCRNA.1002.1	exg2-antisense-1	4591803	4593532	-1	I	4591803	4593532
SPBC16G5.01	SPBC16G5.01.1	rpn12	4214947	4216117	1	II	4214947	4216117
SPAC12B10.11	SPAC12B10.11.1	exg2	4591855	4593567	1	I	4591855	4593567
SPBC16G5.05c	SPBC16G5.05c.1	scs2	4220587	4222612	-1	II	4220587	4222612
SPBC16G5.07c	SPBC16G5.07c.1	SPBC16G5.07c	4223952	4225758	-1	II	4223952	4225758
SPAC12B10.13	SPAC12B10.13.1	gid8	4596234	4597380	1	I	4596234	4597380
SPBC16G5.09	SPBC16G5.09.1	SPBC16G5.09	4228741	4230768	1	II	4228741	4230768
SPAC12B10.14c	SPAC12B10.14c.1	tea5	4597466	4599622	-1	I	4597466	4599622
SPNCRNA.1004	SPNCRNA.1004.1	SPAC1093.07-antisense-1	4604711	4606362	1	I	4604711	4606362
SPBC16G5.13	SPBC16G5.13.1	ptf2	4236878	4238341	1	II	4236878	4238341
SPNCRNA.497	SPNCRNA.497.1	SPNCRNA.497	4239161	4239235	-1	II	4239161	4239235
SPBC1652.01	SPBC1652.01.1	SPBC1652.01	4252276	4255310	1	II	4252276	4255310
SPAC1093.01	SPAC1093.01.1	ppr5	4606299	4611737	1	I	4606299	4611737
SPNCRNA.1011	SPNCRNA.1011.1	ade2-antisense-1	4654513	4655254	-1	I	4654513	4655254
SPNCRNA.114	SPNCRNA.114.1	SPNCRNA.114	4262098	4262173	1	II	4262098	4262173
SPAC144.03	SPAC144.03.1	ade2	4654662	4656456	1	I	4654662	4656456
SPBC16A3.16	SPBC16A3.16.1	coa5	4267056	4268306	-1	II	4267056	4268306
SPAC144.08	SPAC144.08.1	SPAC144.08	4668470	4671381	1	I	4668470	4671381
SPBC16A3.09c	SPBC16A3.09c.1	ufd1	4282124	4283614	1	II	4282124	4283614
SPAC144.12	SPAC144.12.1	rki1	4675116	4678174	1	I	4675116	4678174
SPAC144.13c	SPAC144.13c.1	srw1	4677611	4681148	-1	I	4677611	4681148
SPAC144.16	SPAC144.16.1	cia2	4686462	4688886	1	I	4686462	4688886
SPNCRNA.1016	SPNCRNA.1016.1	SPNCRNA.1016	4689540	4690068	-1	I	4689540	4690068
SPAC1834.03c	SPAC1834.03c.1	hhf1	4698773	4699544	-1	I	4698773	4699544
SPBC16A3.07c	SPBC16A3.07c.1	nrm1	4285899	4288583	1	II	4285899	4288583
SPAC1834.07	SPAC1834.07.1	klp3	4706793	4709252	1	I	4706793	4709252
SPBC543.04	SPBC543.04.1	npr3	4305178	4307927	1	II	4305178	4307927
SPAC1834.10c	SPAC1834.10c.1	SPAC1834.10c	4717677	4718455	-1	I	4717677	4718455
SPNCRNA.1018	SPNCRNA.1018.1	SPAC1834.13-antisense-1	4721254	4722882	1	I	4721254	4722882
SPBC543.06c	SPBC543.06c.1	dbp8	4310179	4311822	-1	II	4310179	4311822
SPAC1834.13	SPAC1834.13.1	SPAC1834.13	4721587	4722717	-1	I	4721587	4722717
SPAC458.05	SPAC458.05.1	pik3	4740188	4742814	1	I	4740188	4742814
SPAPYUG7.02c	SPAPYUG7.02c.1	sin1	4746022	4748489	-1	I	4746022	4748489
SPAPYUG7.03c	SPAPYUG7.03c.1	mid2	4748861	4751456	-1	I	4748861	4751456
SPNCRNA.1022	SPNCRNA.1022.1	sdu1-antisense-1	4753883	4754807	-1	I	4753883	4754807
SPBC543.07	SPBC543.07.1	pek1	4312422	4314140	1	II	4312422	4314140
SPBC543.09	SPBC543.09.1	yta12	4315809	4318869	1	II	4315809	4318869
SPAPYUG7.06	SPAPYUG7.06.1	sdu1	4754130	4754926	1	I	4754130	4754926
SPAC11H11.02c	SPAC11H11.02c.1	mug162	4775517	4778622	-1	I	4775517	4778622
SPBC16C6.01c	SPBC16C6.01c.1	SPBC16C6.01c	4319837	4321858	-1	II	4319837	4321858
SPAC11H11.06	SPAC11H11.06.1	arp2	4783007	4784765	1	I	4783007	4784765
SPAC22F8.03c	SPAC22F8.03c.1	SPAC22F8.03c	4788494	4788895	-1	I	4788494	4788895
SPBC16C6.03c	SPBC16C6.03c.1	SPBC16C6.03c	4332178	4333581	-1	II	4332178	4333581
SPAC22F8.04	SPAC22F8.04.1	pet1	4789418	4791232	1	I	4789418	4791232
SPBC16C6.06	SPBC16C6.06.1	vps10	4336962	4341614	1	II	4336962	4341614
SPNCRNA.1024	SPNCRNA.1024.1	SPNCRNA.1024	4791261	4791958	1	I	4791261	4791958
SPNCRNA.1687	SPNCRNA.1687.1	vps10-antisense-1	4337990	4341362	-1	II	4337990	4341362
SPATRNAALA.06	SPATRNAALA.06.1	SPATRNAALA.06	4796977	4797059	1	I	4796977	4797059
SPBC16C6.10	SPBC16C6.10.1	chp2	4349487	4351244	1	II	4349487	4351244
SPBC16C6.11	SPBC16C6.11.1	rpl3201	4351810	4352398	1	II	4351810	4352398
SPAC22F8.10c	SPAC22F8.10c.1	sap145	4804513	4806453	-1	I	4804513	4806453
SPNCRNA.1026	SPNCRNA.1026.1	fus1-antisense-1	4814239	4817443	1	I	4814239	4817443
SPBC16C6.12c	SPBC16C6.12c.1	las1	4352543	4354124	-1	II	4352543	4354124
SPAC20G4.07c	SPAC20G4.07c.1	erg4	4826601	4828141	-1	I	4826601	4828141
SPBC16C6.13c	SPBC16C6.13c.1	sec27	4354162	4357187	-1	II	4354162	4357187
SPNCRNA.441	SPNCRNA.441.1	SPNCRNA.441	4357348	4357692	1	II	4357348	4357692
SPAC4F10.03c	SPAC4F10.03c.1	trm7	4834655	4836105	-1	I	4834655	4836105
SPBC1539.03c	SPBC1539.03c.1	arg41	4365346	4366949	-1	II	4365346	4366949
SPAC4F10.05c	SPAC4F10.05c.1	lip2	4837605	4838626	-1	I	4837605	4838626
SPNCRNA.1688	SPNCRNA.1688.1	SPNCRNA.1688	4367088	4368303	-1	II	4367088	4368303
SPAC4F10.16c	SPAC4F10.16c.1	SPAC4F10.16c	4863739	4869888	-1	I	4863739	4869888
SPBC1539.04	SPBC1539.04.1	tts1	4368286	4369816	1	II	4368286	4369816
SPBC1539.05	SPBC1539.05.1	cog3	4369909	4372612	1	II	4369909	4372612
SPAC19B12.03	SPAC19B12.03.1	bgs3	4882814	4889915	1	I	4882814	4889915
SPAC19B12.05c	SPAC19B12.05c.1	fcp1	4890740	4893805	-1	I	4890740	4893805
SPAC19B12.09	SPAC19B12.09.1	srp14	4900282	4901134	1	I	4900282	4901134
SPAC19B12.12c	SPAC19B12.12c.1	yip11	4904221	4906394	-1	I	4904221	4906394
SPBC1539.08	SPBC1539.08.1	arf6	4375708	4377177	1	II	4375708	4377177
SPAC19B12.13	SPAC19B12.13.1	cox1102	4906912	4909314	1	I	4906912	4909314
SPAPB8E5.02c	SPAPB8E5.02c.1	rpn502	4909367	4911100	-1	I	4909367	4911100
SPAPB8E5.06c	SPAPB8E5.06c.1	rpl302	4917555	4919099	-1	I	4917555	4919099
SPBC1289.11	SPBC1289.11.1	spf38	4404292	4405886	1	II	4404292	4405886
SPBC1289.17	SPBC1289.17.1	Tf2-11	4414657	4418658	1	II	4414657	4418658
SPBC8E4.04	SPBC8E4.04.1	SPBC8E4.04	4432247	4433501	-1	II	4432247	4433501
SPNCRNA.1692	SPNCRNA.1692.1	SPNCRNA.1692	4433153	4434056	1	II	4433153	4434056
SPNCRNA.444	SPNCRNA.444.1	SPNCRNA.444	4435937	4436680	1	II	4435937	4436680
SPAC1B3.03c	SPAC1B3.03c.1	wis2	4929854	4931230	-1	I	4929854	4931230
SPNCRNA.117	SPNCRNA.117.1	SPNCRNA.117	4439928	4440156	1	II	4439928	4440156
SPNCRNA.564	SPNCRNA.564.1	SPAC1B3.04c-antisense-1	4931204	4933354	1	I	4931204	4933354
SPSNORNA.42	SPSNORNA.42.1	snR90	4937170	4937394	-1	I	4937170	4937394
SPBPB2B2.01	SPBPB2B2.01.1	SPBPB2B2.01	4457661	4459842	1	II	4457661	4459842
SPBPB2B2.02	SPBPB2B2.02.1	mug180	4460486	4462134	1	II	4460486	4462134
SPAC1B3.06c	SPAC1B3.06c.1	SPAC1B3.06c	4937755	4939182	-1	I	4937755	4939182
SPAC1B3.21	SPAC1B3.21.1	coa3	4942226	4942435	1	I	4942226	4942435
SPAC1B3.20	SPAC1B3.20.1	SPAC1B3.20	4948562	4949118	1	I	4948562	4949118
SPBPB2B2.13	SPBPB2B2.13.1	gal1	4488322	4490271	1	II	4488322	4490271
SPAC1B3.13	SPAC1B3.13.1	nan1	4951337	4954199	1	I	4951337	4954199
SPBPB2B2.14c	SPBPB2B2.14c.1	SPBPB2B2.14c	4492580	4493364	-1	II	4492580	4493364
SPAC1B3.17	SPAC1B3.17.1	clr2	4964526	4966980	1	I	4964526	4966980
SPBPB2B2.17c	SPBPB2B2.17c.1	SPBPB2B2.17c	4501956	4502396	-1	II	4501956	4502396
SPAC1B3.18c	SPAC1B3.18c.1	mrps18	4966990	4968398	-1	I	4966990	4968398
SPBPB2B2.19c	SPBPB2B2.19c.1	SPBPB2B2.19c	4503653	4505257	-1	II	4503653	4505257
SPBC1348.02	SPBC1348.02.1	SPBC1348.02	7633	9457	1	II	7633	9457
SPBC1348.04	SPBC1348.04.1	SPBC1348.04	12176	12750	1	II	12176	12750
SPBC1348.06c	SPBC1348.06c.1	SPBC1348.06c	15981	16592	-1	II	15981	16592
SPNCRNA.287	SPNCRNA.287.1	SPNCRNA.287	21060	21754	-1	II	21060	21754
SPBPB8B6.02c	SPBPB8B6.02c.1	SPBPB8B6.02c	44694	46836	-1	II	44694	46836
SPBPB21E7.02c	SPBPB21E7.02c.1	SPBPB21E7.02c	60553	61205	-1	II	60553	61205
SPNCRNA.1303	SPNCRNA.1303.1	SPNCRNA.1303	63602	64286	1	II	63602	64286
SPNCRNA.1306	SPNCRNA.1306.1	SPNCRNA.1306	78958	80201	-1	II	78958	80201
SPNCRNA.1307	SPNCRNA.1307.1	SPBPB10D8.02c-antisense-1	83799	85528	1	II	83799	85528
SPBPB10D8.03	SPBPB10D8.03.1	SPBPB10D8.03	87727	89029	1	II	87727	89029
SPAC1952.05	SPAC1952.05.1	gcn5	4973601	4975698	1	I	4973601	4975698
SPNCRNA.1040	SPNCRNA.1040.1	SPAC1952.08c-antisense-1	4980243	4981189	1	I	4980243	4981189
SPBPB10D8.06c	SPBPB10D8.06c.1	SPBPB10D8.06c	97242	98534	-1	II	97242	98534
SPNCRNA.290	SPNCRNA.290.1	SPNCRNA.290	102509	102673	1	II	102509	102673
SPAC1952.09c	SPAC1952.09c.1	SPAC1952.09c	4981215	4984035	-1	I	4981215	4984035
SPBC359.01	SPBC359.01.1	SPBC359.01	104609	107221	1	II	104609	107221
SPBC359.02	SPBC359.02.1	alr2	107583	109353	1	II	107583	109353
SPAC1952.11c	SPAC1952.11c.1	ure2	4986541	4989670	-1	I	4986541	4989670
SPNCRNA.1310	SPNCRNA.1310.1	SPNCRNA.1310	109405	109905	-1	II	109405	109905
SPAC1952.14c	SPAC1952.14c.1	mrpl25	4993624	4994533	-1	I	4993624	4994533
SPNCRNA.257	SPNCRNA.257.1	SPNCRNA.257	4994799	4995315	1	I	4994799	4995315
SPBC359.03c	SPBC359.03c.1	aat1	111007	113472	-1	II	111007	113472
SPAC1952.16	SPAC1952.16.1	rga9	4995327	5000816	1	I	4995327	5000816
SPBC359.05	SPBC359.05.1	abc3	122657	127461	1	II	122657	127461
SPAC1952.17c	SPAC1952.17c.1	SPAC1952.17c	4999993	5002396	-1	I	4999993	5002396
SPNCRNA.294	SPNCRNA.294.1	SPNCRNA.294	127311	127803	1	II	127311	127803
SPNCRNA.296	SPNCRNA.296.1	SPNCRNA.296	140474	141087	1	II	140474	141087
SPNCRNA.297	SPNCRNA.297.1	SPNCRNA.297	141435	141927	1	II	141435	141927
SPNCRNA.1318	SPNCRNA.1318.1	SPNCRNA.1318	154521	156642	-1	II	154521	156642
SPAC890.02c	SPAC890.02c.1	alp7	5002400	5004518	-1	I	5002400	5004518
SPBC1683.08	SPBC1683.08.1	ght4	155751	159570	1	II	155751	159570
SPBC1683.13c	SPBC1683.13c.1	cha4	170167	172271	-1	II	170167	172271
SPNCRNA.1320	SPNCRNA.1320.1	fmd2-antisense-1	172716	174355	-1	II	172716	174355
SPBC1198.02	SPBC1198.02.1	dea2	174822	176135	1	II	174822	176135
SPBC1198.04c	SPBC1198.04c.1	zas1	177469	180735	-1	II	177469	180735
SPNCRNA.1322	SPNCRNA.1322.1	SPBC1198.05-antisense-1	181431	182194	-1	II	181431	182194
SPBC1198.07c	SPBC1198.07c.1	SPBC1198.07c	184591	186786	-1	II	184591	186786
SPAC890.03	SPAC890.03.1	ppk16	5004615	5007087	1	I	5004615	5007087
SPBC1198.08	SPBC1198.08.1	SPBC1198.08	187366	189153	1	II	187366	189153
SPNCRNA.1325	SPNCRNA.1325.1	SPNCRNA.1325	199409	200559	-1	II	199409	200559
SPAC22E12.03c	SPAC22E12.03c.1	sdj1	5022786	5023906	-1	I	5022786	5023906
SPNCRNA.52	SPNCRNA.52.1	prl52	5023945	5024116	1	I	5023945	5024116
SPAC22E12.04	SPAC22E12.04.1	ccs1	5024830	5026218	1	I	5024830	5026218
SPBC660.05	SPBC660.05.1	SPBC660.05	202257	203623	1	II	202257	203623
SPAC22E12.06c	SPAC22E12.06c.1	gmh3	5027605	5030482	-1	I	5027605	5030482
SPNCRNA.1043	SPNCRNA.1043.1	gmh3-antisense-1	5029269	5030305	1	I	5029269	5030305
SPBC660.13c	SPBC660.13c.1	ssb1	219182	221326	-1	II	219182	221326
SPBC660.14	SPBC660.14.1	mik1	221358	224117	1	II	221358	224117
SPNCRNA.62	SPNCRNA.62.1	prl62	227372	227760	1	II	227372	227760
SPBC660.16	SPBC660.16.1	SPBC660.16	230269	233218	1	II	230269	233218
SPBC31E1.03	SPBC31E1.03.1	hub1	243966	245183	-1	II	243966	245183
SPAC22E12.11c	SPAC22E12.11c.1	set3	5039546	5043440	-1	I	5039546	5043440
SPBC31E1.06	SPBC31E1.06.1	bms1	249041	252682	1	II	249041	252682
SPBC800.02	SPBC800.02.1	whi5	253148	253984	1	II	253148	253984
SPNCRNA.1331	SPNCRNA.1331.1	clr3-antisense-1	254617	257138	-1	II	254617	257138
SPBTRNAGLN.01	SPBTRNAGLN.01.1	SPBTRNAGLN.01	257454	257525	1	II	257454	257525
SPBC800.08	SPBC800.08.1	gcd10	265305	267229	1	II	265305	267229
SPNCRNA.299	SPNCRNA.299.1	SPNCRNA.299	274745	275832	1	II	274745	275832
SPNCRNA.1334	SPNCRNA.1334.1	SPNCRNA.1334	275118	275866	-1	II	275118	275866
SPNCRNA.1335	SPNCRNA.1335.1	SPBC800.12c-antisense-1	278235	279160	1	II	278235	279160
SPBC800.13	SPBC800.13.1	cnp20	279321	281247	1	II	279321	281247
SPAC22E12.14c	SPAC22E12.14c.1	sck2	5045616	5049021	-1	I	5045616	5049021
SPBC1773.01	SPBC1773.01.1	far8	281440	283779	1	II	281440	283779
SPAC2E12.02	SPAC2E12.02.1	hsf1	5059273	5062056	1	I	5059273	5062056
